p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
7.16227531081931e-41	0.95884628083581	2.42581605439979	1	0.843	1.44792557683523e-36
7.46426664244176e-14	0.655110607990189	3.0135068394455	0.333	0.026	1.50897614443603e-09
1.84885104282094e-09	0.704518654780435	1.07310366594969	0.919	0.764	3.73763726816682e-05
5.57466251410526e-09	0.311872081505589	-1.15131372409319	0.342	0.691	0.000112697377385152
1.07356145783659e-07	0.635724729965568	1.54213841414129	0.396	0.141	0.00217031184316245
1.3223048213974e-07	0.320008490165558	-0.749397021575254	0.811	0.948	0.00267317142693699
1.60805634258674e-07	0.326942125371445	-0.876154068604064	0.468	0.728	0.00325084670217336
9.20520236225398e-07	0.626078958539692	1.48031433827833	0.387	0.152	0.0186092370955327
1.53621916866101e-06	0.619900004716759	1.56212131551927	0.369	0.131	0.0310562067136509
6.8032016887051e-06	0.355572850337248	-0.946827247040922	0.378	0.607	0.137533525338862
9.07011816900135e-06	0.355242677232206	-0.99362196854246	0.396	0.623	0.183361508904531
1.25011122663325e-05	0.364228102447998	-0.716856813384111	0.27	0.529	0.252722485576178
2.47739962690195e-05	0.356681288618461	-0.938355034583885	0.649	0.801	0.500831108574498
2.55403236419349e-05	0.591528701476346	1.10428662469928	0.27	0.089	0.516323182745355
3.44822881414476e-05	0.379203811140984	-0.872694254301757	0.198	0.44	0.697093937067505
3.65950333309232e-05	0.587401537663318	1.65611808683601	0.252	0.084	0.739805193817944
4.13995639536699e-05	0.612188104334701	1.03156492190269	0.414	0.209	0.83693358488739
4.23084824084055e-05	0.369180699023631	-0.819535939278443	0.36	0.597	0.855308280368325
4.44945400199023e-05	0.612872034338003	1.17450641103354	0.423	0.215	0.899501621042345
4.70096712905315e-05	0.360171690014622	-0.552832237813908	0.793	0.916	0.950347514809386
5.81511721276362e-05	0.363119664166785	-0.84182219062514	0.631	0.775	1
5.93310905938814e-05	0.384816753926702	-1.1187027038105	0.189	0.414	1
7.47654527239684e-05	0.3897221829159	-0.967453067406954	0.171	0.382	1
7.65586764217144e-05	0.377175604924296	-0.952182919600067	0.306	0.529	1
9.30603513281607e-05	0.396184142257441	-1.02067004431267	0.135	0.34	1
0.000151640862482862	0.587873213527664	1.46000460089914	0.288	0.12	1
0.000191383715864382	0.385972359794349	-0.800264147440928	0.288	0.503	1
0.000258830454236307	0.375241733880477	-0.501800220334485	0.793	0.901	1
0.000310948274784933	0.402386679873591	-0.868101874040441	0.153	0.351	1
0.000330389784060068	0.398330267440215	-0.903801897166628	0.189	0.393	1
0.000372073476835193	0.380029243903589	-1.00434232136679	0.55	0.728	1
0.000392692175427455	0.381680109428801	-0.505551266531046	0.514	0.707	1
0.000436302004391796	0.620418848167539	0.522747682501955	0.937	0.901	1
0.000447648896616073	0.595443611150417	1.34301217730265	0.387	0.215	1
0.000521330276936571	0.589453327673223	1.05820792671106	0.342	0.183	1
0.000625398796371637	0.3829064666761	-0.617449138351361	0.802	0.88	1
0.000663496689895974	0.384203575303052	-0.409668459386273	0.721	0.895	1
0.000702256623187863	0.589382576293571	1.32991729983235	0.36	0.194	1
0.000853957838415093	0.612824866751568	0.575383968977741	0.784	0.733	1
0.000862516752521075	0.586340266968539	0.873069964972853	0.351	0.183	1
0.000919923457955592	0.585774255931324	0.736545336521823	0.351	0.183	1
0.000962868631049076	0.420475449271261	-0.779668091659507	0.099	0.262	1
0.000988204632807449	0.395806801565964	-0.91757452058124	0.369	0.539	1
0.001021417302071	0.398330267440215	-0.663063042712941	0.315	0.513	1
0.00123485927043299	0.415428517522758	-0.856128248875248	0.144	0.314	1
0.0012570624278025	0.416654874770058	-0.825730764991555	0.135	0.304	1
0.00134770409290506	0.397811423989434	-0.794988391436444	0.378	0.565	1
0.00140851720544064	0.590467430781567	1.12185524887748	0.405	0.267	1
0.00154946465484188	0.600443375312485	0.63907834073007	0.577	0.424	1
0.00158641957883553	0.404179048158106	-0.746796650074247	0.297	0.476	1
0.00171688596773225	0.415452101315976	-0.653168468189144	0.162	0.34	1
0.00179145681950383	0.392788076034149	-0.386351573939866	0.883	0.948	1
0.00228948307752746	0.403801707466629	-0.605143628754093	0.378	0.555	1
0.00233385645408408	0.59428800528277	1.26485294516939	0.495	0.387	1
0.00240074426904344	0.5873779538701	0.884020417467178	0.441	0.267	1
0.00258859644921274	0.594453091835291	0.542188154653304	0.577	0.414	1
0.00259536958846533	0.425593132399415	-0.682072028325	0.117	0.272	1
0.00263826645673612	0.397316164331871	-0.446553715508625	0.712	0.864	1
0.00270121003995686	0.423093250318381	-0.602640730812107	0.135	0.298	1
0.0027113835560303	0.407881703693222	-0.435257471015619	0.315	0.508	1
0.00274608593654444	0.588627894910617	0.704372512446078	0.459	0.314	1
0.00279811831734974	0.407504363001745	-0.271856047169183	0.306	0.529	1
0.00297957372228075	0.589618414225744	0.608497167299976	0.495	0.34	1
0.0029980785176267	0.592354134238951	0.44222895966678	0.559	0.382	1
0.00301131614622499	0.419862270647611	-0.629524632200937	0.171	0.34	1
0.00310427221087304	0.404013961605585	-0.56799558833474	0.459	0.623	1
0.00311642505698282	0.419484929956134	-0.799126260167986	0.189	0.34	1
0.00312794912042576	0.425097872741852	-0.47100143882403	0.135	0.288	1
0.00315213719077627	0.576741663129098	1.14975268281931	0.324	0.199	1
0.00323867718586826	0.583816801094288	0.543853089240503	0.432	0.267	1
0.0033611756195118	0.589052403188529	0.677057896077841	0.495	0.351	1
0.00342080039003455	0.587849629734447	0.508256070827308	0.495	0.33	1
0.00343127582345227	0.41401348992972	-0.525051652408429	0.261	0.44	1
0.00344276584325115	0.418730248573181	-0.837794737982236	0.207	0.356	1
0.00350571829696792	0.41113626715721	-0.64140054802045	0.297	0.471	1
0.00350580334141599	0.428305268619405	-0.659645579878865	0.117	0.267	1
0.00368790659071109	0.414461582000849	-1.00709609772833	0.261	0.419	1
0.00381316534888101	0.41052308853356	-0.581697364492279	0.324	0.503	1
0.00383000938109176	0.411725861987642	-0.493238169322922	0.297	0.487	1
0.00394530176301909	0.402433847460025	-0.483820630726244	0.676	0.791	1
0.00400273073416121	0.41637186925145	-0.724816068106774	0.252	0.408	1
0.00410479809705295	0.429177868968445	-0.677770127814784	0.126	0.267	1
0.00413236207604044	0.403164945049762	-0.43191219812638	0.667	0.791	1
0.00423725176761281	0.414532333380501	-0.818159766216772	0.288	0.435	1
0.00426195157524845	0.412598462336682	-0.894906366086586	0.324	0.471	1
0.00438580110665072	0.567001556530352	1.29411522777386	0.261	0.147	1
0.00443143848627673	0.426135559643413	-0.623572872878017	0.153	0.304	1
0.00458899459447398	0.587024196971841	0.520218784816002	0.523	0.372	1
0.00467160552850979	0.406961935757747	-0.337609981918107	0.514	0.691	1
0.00475758509340585	0.589901419744352	0.801859670475931	0.55	0.461	1
0.00481617654491662	0.432031507947738	-0.710094602566223	0.117	0.251	1
0.00483540768354405	0.410027828875996	-0.40866685172474	0.405	0.586	1
